['227', '220', '180', '0']

['229', '292', '202', '0']
['229', '350', '205', '0']
['234', '380', '206', '0']
['239', '480', '218', '0']
['245', '540', '215', '0']
['252', '630', '225', '0']
['252', '655', '225', '0']
['254', '667', '225', '0']
['254', '667', '225', '0']
['255', '668', '228', '0']
['260', '556', '232', '0']
['264', '469', '235', '0']
['265', '423', '235', '0']
['266', '355', '245', '0']
['266', '342', '245', '0']
['276', '507', '245', '0']
['276', '507', '245', '0']
['280', '559', '245', '0']
['285', '592', '245', '0']
['286', '650', '245', '0']
['286', '670', '245', '0']
['286', '670', '245', '0']
['287', '690', '245', '0']

['304', '500', '255', '0']
['304', '400', '255', '0']
['306', '320', '280', '0']
['306', '320', '280', '0']
['306', '320', '280', '0']
['306', '320', '280', '0']
['306', '320', '280', '0']

['313', '512', '280', '0']
['315', '512', '260', '0']
['313', '512', '280', '0']
['313', '512', '280', '0']


['317', '650', '190', '0']
['317', '650', '190', '0']
['319', '650', '190', '0']
['319', '650', '190', '0']
['320', '650', '190', '0']

['319', '650', '220', '0']
['320', '650', '220', '0']
['319', '650', '220', '0']
['320', '650', '220', '0']

['319', '580', '240', '0']
['320', '580', '240', '0']
['319', '580', '240', '0']
['320', '580', '240', '0']

['319', '580', '210', '0']
['320', '580', '210', '0']
['319', '580', '210', '0']
['320', '580', '210', '0']

['322', '600', '250', '0']
['323', '600', '250', '0']
['323', '600', '250', '0']
['323', '600', '250', '0']
['323', '620', '230', '0']
['323', '640', '230', '0']
['323', '640', '230', '0']
['323', '640', '230', '0']
['323', '640', '230', '0']
['324', '580', '380', '0']
['324', '580', '380', '0']
['325', '580', '380', '0']
['325', '520', '500', '0']
['325', '520', '500', '0']
['325', '520', '500', '0']
['325', '520', '500', '0']
['325', '520', '500', '0']
['325', '520', '520', '0']
['325', '520', '520', '0']

['328', '700', '450', '0']
['328', '700', '450', '0']
['328', '725', '450', '0']
['328', '725', '420', '0']
['328', '750', '420', '0']
['328', '750', '420', '0']
['328', '800', '390', '0']
['328', '800', '390', '0']
['328', '825', '390', '0']
['328', '825', '390', '0']
['328', '825', '390', '0']

['328', '850', '380', '0']
['328', '850', '380', '0']
['328', '870', '380', '0']
['328', '870', '380', '0']
['328', '890', '380', '0']
['328', '890', '380', '0']
['328', '890', '380', '0']

['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '1']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']
['497', '1024', '512', '0']


