['1716', '584', '274', '0']
['1717', '584', '274', '0']
['1718', '584', '274', '0']
['1719', '584', '274', '0']
['1716', '584', '274', '0']
['1717', '584', '274', '0']
['1718', '584', '274', '0']
['1719', '584', '274', '0']
['1716', '584', '274', '0']
['1717', '584', '274', '0']
['1718', '584', '274', '0']
['1719', '584', '274', '0']
['1720', '559', '317', '0']
['1723', '578', '269', '0']
['1724', '590', '248', '0']
['1726', '608', '233', '0']
['1729', '633', '215', '0']
['1730', '649', '209', '0']
['1732', '658', '210', '0']
['1734', '673', '200', '0']
['1737', '681', '199', '0']
['1738', '689', '198', '0']
['1739', '689', '198', '0']
['1740', '701', '200', '0']
['1743', '718', '201', '0']
['1744', '726', '203', '0']
['1747', '728', '200', '0']
['1748', '737', '193', '0']
['1751', '745', '192', '0']
['1752', '745', '192', '0']
['1753', '745', '192', '0']
['1754', '745', '192', '0']
['1753', '745', '192', '0']
['1754', '745', '192', '0']
['1755', '732', '198', '0']
['1758', '710', '203', '0']
['1759', '685', '206', '0']
['1762', '628', '232', '0']
['1765', '613', '230', '0']
['1766', '613', '223', '0']
['1769', '609', '215', '0']
['1772', '610', '214', '0']
['1772', '610', '214', '0']
['1772', '610', '214', '0']
['1772', '610', '214', '0']
['1773', '662', '211', '0']
['1776', '681', '214', '0']
['1777', '697', '226', '0']
['1781', '706', '227', '0']
['1782', '706', '227', '0']
['1783', '716', '236', '0']
['1786', '744', '243', '0']
['1786', '744', '243', '0']
['1787', '772', '236', '0']
['1790', '785', '228', '0']
['1791', '808', '209', '0']
['1794', '820', '198', '0']
['1238', '816', '172', '0']
['1239', '816', '172', '0']
['1240', '816', '172', '0']
['1241', '816', '172', '0']
['1242', '816', '172', '0']
['1243', '864', '179', '0']
['1245', '864', '179', '0']
['1246', '865', '177', '0']
['1247', '865', '177', '0']
['1251', '865', '177', '0']
['1253', '867', '176', '0']
['1256', '873', '174', '0']
['1257', '878', '169', '0']
['1257', '878', '169', '0']
['1257', '878', '169', '0']
['1257', '878', '169', '0']
['1257', '878', '169', '0']
['6199', '779', '124', '0']
['6199', '779', '124', '0']
['6199', '779', '124', '0']
['6199', '779', '124', '0']
['1257', '878', '169', '0']
['1257', '878', '169', '0']
['1257', '878', '169', '0']
['1259', '855', '178', '0']
['1260', '855', '178', '0']
['1261', '811', '195', '0']
['1263', '774', '212', '0']
['1266', '750', '226', '0']
['1267', '737', '233', '0']
['1268', '737', '233', '0']
['1269', '734', '233', '0']
['1270', '734', '233', '0']
['1271', '710', '195', '0']
['1272', '710', '195', '0']
['1273', '695', '174', '0']
['1274', '695', '174', '0']
['1275', '685', '171', '0']
['1276', '685', '171', '0']
['1277', '682', '171', '0']
['1278', '682', '171', '0']
['1279', '700', '176', '0']
['1280', '700', '176', '0']
['1281', '719', '182', '0']
['1282', '719', '182', '0']
['1283', '723', '185', '0']
['1284', '723', '185', '0']
['1285', '730', '190', '0']
['1287', '730', '190', '0']
['1288', '736', '192', '0']
['1290', '752', '188', '0']
['1291', '752', '188', '0']
['1292', '772', '184', '0']
['1293', '772', '184', '0']
['1294', '786', '184', '0']
['1297', '797', '189', '0']
['1298', '797', '189', '0']
['1299', '812', '194', '0']
['1300', '812', '194', '0']
['1301', '820', '195', '0']
['1305', '824', '195', '0']
['1307', '834', '198', '0']
['1308', '847', '200', '0']
['1310', '867', '204', '0']
['1312', '880', '205', '0']
['1320', '955', '210', '0']
['1321', '955', '210', '0']
['1322', '965', '212', '0']
['1325', '962', '243', '0']
['1327', '948', '296', '0']
['1327', '948', '296', '0']
['1329', '928', '354', '0']
['1333', '890', '465', '0']
['1335', '866', '526', '0']
['1335', '866', '526', '0']
['1338', '853', '561', '0']
['1338', '853', '561', '0']
['1338', '853', '561', '0']
['1344', '1024', '470', '0']
['1345', '1024', '470', '0']
['1346', '1024', '470', '0']
['1347', '1024', '470', '0']
['1348', '1024', '470', '0']
['1349', '1024', '470', '0']
['1350', '1024', '470', '5']
['1351', '1024', '470', '5']
['1352', '1024', '470', '5']
['1353', '1024', '470', '5']
['1349', '1024', '470', '5']
['1350', '1024', '470', '0']
['1351', '1024', '470', '0']
['1352', '1024', '470', '0']
['1353', '1024', '470', '0']
['1349', '1024', '470', '0']
['1350', '1024', '470', '0']
['1351', '1024', '470', '0']
['1352', '1024', '470', '0']
['1353', '1024', '470', '0']
['1349', '1024', '470', '0']
['1350', '1024', '470', '0']
['1351', '1024', '470', '0']
['1352', '1024', '470', '0']
['1353', '1024', '470', '0']
['5452', '621', '794', '0']
['5452', '621', '794', '0']
['5453', '621', '794', '0']
['5453', '621', '794', '0']
['5452', '621', '794', '0']
['5452', '621', '794', '0']
['5453', '621', '794', '0']
['5453', '621', '794', '0']
['5454', '621', '794', '0']
['5452', '621', '794', '0']
['5453', '621', '794', '0']
['5454', '621', '794', '0']
['5455', '621', '794', '0']
['5456', '621', '794', '0']
['5457', '621', '794', '0']
['5458', '621', '794', '0']
['5459', '621', '794', '0']
['5460', '621', '794', '0']
['5461', '621', '794', '0']
['5462', '621', '794', '0']
['5463', '621', '794', '0']
['5464', '621', '794', '0']
['6872', '621', '794', '0']
['6873', '621', '794', '0']
['6874', '614', '894', '0']
['6875', '614', '894', '0']
['6876', '617', '902', '0']
['6882', '616', '910', '0']
['6883', '616', '910', '0']
['6884', '646', '845', '0']
['6886', '667', '796', '0']
['6888', '696', '755', '0']
['6889', '696', '755', '0']
['6891', '728', '707', '0']
['6892', '748', '684', '0']
['6895', '750', '681', '0']
['6896', '759', '675', '0']
['6897', '759', '675', '0']
['6898', '759', '675', '0']
['6904', '762', '677', '0']
