['1716', '584', '274', '0']
['1717', '584', '274', '0']
['1718', '584', '274', '0']
['1719', '584', '274', '0']
['1716', '584', '274', '0']
['1717', '584', '274', '0']
['1718', '584', '274', '0']
['1719', '584', '274', '0']
['1716', '584', '274', '0']
['1717', '584', '274', '0']
['1718', '584', '274', '0']
['1719', '584', '274', '0']
['1720', '559', '317', '0']
['1723', '578', '269', '0']
['1724', '590', '248', '0']
['1726', '608', '233', '0']
['1729', '633', '215', '0']
['1730', '649', '209', '0']
['1732', '658', '210', '0']
['1734', '673', '200', '0']
['1737', '681', '199', '0']
['1738', '689', '198', '0']
['1739', '689', '198', '0']
['1740', '701', '200', '0']
['1743', '718', '201', '0']
['1744', '726', '203', '0']
['1747', '728', '200', '0']
['1748', '737', '193', '0']
['1751', '745', '192', '0']
['1752', '745', '192', '0']
['1753', '745', '192', '0']
['1754', '745', '192', '0']
['1753', '745', '192', '0']
['1754', '745', '192', '0']
['1755', '732', '198', '0']
['1758', '710', '203', '0']
['1759', '685', '206', '0']
['1762', '628', '232', '0']
['1765', '613', '230', '0']
['1766', '613', '223', '0']
['1769', '609', '215', '0']
['1772', '610', '214', '0']
['1772', '610', '214', '0']
['1772', '610', '214', '0']
['1772', '610', '214', '0']
['1773', '662', '211', '0']
['1776', '681', '214', '0']
